Region,District,Sector,School_Name,Year,Male_Dropout_Percentage,Female_Dropout_Percentage,Overall_Dropout_Percentage,Completion_Total,Reenrollment_Rate,Attendance_Rate,Avg_Household_Income_RWF,TS_Ratio_Numeric,Dropout_Level
Eastern,Bugesera,Sector-5,GS Mweya,2012,1.4,9.79,5.59,87.21,8.42,71.83,308106,0.022727273,Low
Eastern,Bugesera,Sector-8,GS Akumunigo,2013,12.91,7.71,10.31,58.33,12.55,62.21,145647,0.022727273,Medium
Eastern,Bugesera,Sector-2,GS Mweya,2014,10.17,29.22,19.7,63.49,16.78,74.31,223014,0.022727273,Medium
Eastern,Bugesera,Sector-4,GS Camp Kigali,2015,1.93,28.27,15.1,85.69,4.49,81.74,492561,0.022727273,Medium
Eastern,Bugesera,Sector-6,GS Rukomo,2016,12.27,13.06,12.67,71.01,14.64,80.5,563330,0.022727273,Medium
Eastern,Bugesera,Sector-7,Mater Dei,2017,12.13,28.4,20.27,76.33,1.5,93.02,484922,0.022727273,Medium
Eastern,Bugesera,Sector-4,GS Migongo,2018,21.53,15.01,18.27,96.98,8.16,75.96,244916,0.022727273,Medium
Eastern,Bugesera,Sector-8,GS Ruramira,2019,10.41,23.67,17.04,80.94,5.85,61.79,577020,0.022727273,Medium
Eastern,Bugesera,Sector-1,GS Kimironko II,2020,24.52,3.54,14.03,86.87,13.59,89.3,461998,0.022727273,Medium
Eastern,Bugesera,Sector-1,GS Camp Kigali,2021,18.66,23.3,20.98,72.99,8.72,85.74,294405,0.022727273,Medium
Eastern,Bugesera,Sector-5,GS Agataramo,2022,29.19,2.09,15.64,65.75,15.45,85.34,475665,0.022727273,Medium
Eastern,Bugesera,Sector-1,GS Mubuga,2023,5.9,24.83,15.36,84.15,2.44,73.49,346661,0.022727273,Medium
Eastern,Bugesera,Sector-6,GS Ruramira,2024,15.78,17.97,16.88,70.87,18.03,74.54,163753,0.022727273,Medium
Eastern,Kirehe,Sector-7,GS Ruramira,2010,29.1,29.76,29.43,86.33,1.58,73.83,149810,0.024390244,High
Eastern,Kirehe,Sector-7,GS Buye,2011,21.11,23.76,22.43,93.51,11.73,95.2,561638,0.024390244,Medium
Eastern,Kirehe,Sector-3,GS Kinteko,2012,8.58,29.48,19.03,75.66,17.9,61.05,522397,0.024390244,Medium
Eastern,Kirehe,Sector-1,GS Matara,2013,29.5,19.47,24.49,76.69,18.43,80.65,369692,0.024390244,Medium
Eastern,Kirehe,Sector-8,GS Mweya,2014,22.97,22.22,22.59,72.74,6.19,68.44,360186,0.024390244,Medium
Eastern,Kirehe,Sector-9,GS Cyahafi,2015,15,10.37,12.69,78.42,13.74,86.39,183038,0.024390244,Medium
Eastern,Kirehe,Sector-4,Mater Dei,2016,27.49,18.65,23.07,88.02,5.85,85.1,224338,0.024390244,Medium
Eastern,Kirehe,Sector-9,GS Akumunigo,2017,21.45,22.33,21.89,66.22,8.09,99.64,202391,0.024390244,Medium
Eastern,Kirehe,Sector-4,GS Mubuga,2018,2.81,24.81,13.81,69.16,16.86,62.26,114925,0.024390244,Medium
Eastern,Kirehe,Sector-5,GS Rwamagana,2019,12.57,16.14,14.35,67.55,4.12,92.13,228501,0.024390244,Medium
Eastern,Kirehe,Sector-5,GS Nyacyina,2020,8.25,10.76,9.5,76.09,0.21,89.81,384833,0.024390244,Low
Eastern,Kirehe,Sector-9,GS Cyahafi,2021,23.52,24.83,24.17,66.76,15.89,75.13,411032,0.024390244,Medium
Eastern,Kirehe,Sector-2,GS Nyacyina,2022,3.87,8.87,6.37,80.04,17.76,98.92,227424,0.024390244,Low
Eastern,Kirehe,Sector-6,GS Rukomo,2023,3.97,22.58,13.27,76.93,2.55,78.86,316651,0.024390244,Medium
Eastern,Kirehe,Sector-8,GS Ruramira,2024,6.09,28.85,17.47,87.36,4.69,75.91,138725,0.024390244,Medium
Eastern,Kirehe,Sector-7,GS Gitega,2010,4.56,13.57,9.06,83.37,6.67,66.13,448737,0.019230769,Low
Eastern,Kirehe,Sector-7,GS Ruheru,2011,14.02,17.55,15.79,71.26,5.65,89.31,466204,0.019230769,Medium
Eastern,Kirehe,Sector-1,GS Rwamagana,2012,17.1,22.18,19.64,86.6,15.55,98.06,165018,0.019230769,Medium
Eastern,Kirehe,Sector-4,GS Rwamagana,2013,22.43,26.9,24.66,74.46,4.79,76.63,250853,0.019230769,Medium
Eastern,Kirehe,Sector-4,GS Ruheru,2014,11.81,7.68,9.74,67.39,8.18,72.81,592290,0.019230769,Low
Eastern,Kirehe,Sector-8,GS Rwanyanza,2015,22.7,4.29,13.49,76.37,19.09,90.52,304120,0.019230769,Medium
Eastern,Kirehe,Sector-6,GS Rukomo,2016,27.41,28.91,28.16,65.63,19.47,85.07,446929,0.019230769,High
Eastern,Kirehe,Sector-6,New Vision,2017,20.24,12.84,16.54,75.29,10.6,69.69,439855,0.019230769,Medium
Eastern,Kirehe,Sector-9,GS Camp Kigali,2018,9.41,19.24,14.32,69.32,17.35,71.33,379965,0.019230769,Medium
Eastern,Kirehe,Sector-6,GS Rwamagana,2019,7.77,23.57,15.67,89.49,1.27,74.94,375455,0.019230769,Medium
Eastern,Kirehe,Sector-3,GS Rwanyanza,2020,12.49,28.95,20.72,70.67,0.72,64.81,259465,0.019230769,Medium
Eastern,Kirehe,Sector-9,GS Mweya,2021,16.98,21.55,19.27,60.5,4.83,91.25,420878,0.019230769,Medium
Eastern,Kirehe,Sector-2,GS Rwanyanza,2022,20.49,6.71,13.6,75.03,7.7,88.26,258818,0.019230769,Medium
Eastern,Kirehe,Sector-1,GS Ruheru,2023,12.67,23.72,18.19,77.24,7.53,76.83,558024,0.019230769,Medium
Eastern,Kirehe,Sector-2,GS Rukomo,2024,11.53,2.52,7.02,78.04,3.98,67.79,596195,0.019230769,Low
Eastern,Kirehe,Sector-9,GS Gahanga I,2010,9.36,7.84,8.6,69.27,0.04,63.79,419158,0.018518519,Low
Eastern,Kirehe,Sector-6,GS Akumunigo,2011,7.49,10.87,9.18,87.86,7.9,68.19,536156,0.018518519,Low
Eastern,Kirehe,Sector-8,GS Kinteko,2012,10.72,7.01,8.86,67.36,11.34,87.09,237116,0.018518519,Low
Eastern,Kirehe,Sector-1,GS Buye,2013,20.82,1.08,10.95,76.05,2.54,76.25,281593,0.018518519,Medium
Eastern,Kirehe,Sector-1,GS Kimironko II,2014,2.7,9.86,6.28,58.29,7.34,90.43,490820,0.018518519,Low
Eastern,Kirehe,Sector-6,New Vision,2015,4.08,20.97,12.52,92.63,3.26,97.15,553116,0.018518519,Medium
Eastern,Kirehe,Sector-6,Mater Dei,2016,8.23,10.91,9.57,68.75,8.47,99.02,556526,0.018518519,Low
Eastern,Kirehe,Sector-5,GS Mweya,2017,1.13,10.09,5.61,71.28,14.05,64.44,168447,0.018518519,Low
Eastern,Kirehe,Sector-2,GS Gahanga I,2018,23.99,19.24,21.62,71.57,8.23,87.09,155063,0.018518519,Medium
Eastern,Kirehe,Sector-7,GS Kimironko II,2019,10.66,20.41,15.53,70.18,18.43,96.53,413011,0.018518519,Medium
Eastern,Kirehe,Sector-1,New Vision,2020,29.38,1.31,15.34,75.89,19.62,94.39,554055,0.018518519,Medium
Eastern,Kirehe,Sector-3,GS Gahanga I,2021,18.8,24.01,21.41,56.73,0.28,90.34,159567,0.018518519,Medium
Eastern,Kirehe,Sector-7,GS Buye,2022,20.06,11.59,15.82,82.69,2.68,73.7,324589,0.018518519,Medium
Eastern,Kirehe,Sector-1,GS Kinteko,2023,26.69,19.83,23.26,54.93,3.59,65.64,243084,0.018518519,Medium
Eastern,Kirehe,Sector-5,Marie Merci,2024,7.55,1.73,4.64,88.33,19.39,91.87,120092,0.018518519,Low
Eastern,Kirehe,Sector-9,GS Camp Kigali,2010,16.11,25.26,20.68,94.66,0.41,87.93,129873,0.029411765,Medium
Eastern,Kirehe,Sector-6,GS Akumunigo,2011,14.9,15.9,15.4,59.12,19.86,83.45,510261,0.029411765,Medium
Eastern,Kirehe,Sector-2,GS Camp Kigali,2012,22.99,24.02,23.5,90.06,18.92,85.6,202201,0.029411765,Medium
Eastern,Kirehe,Sector-7,GS Matara,2013,27.97,12.06,20.01,56.26,3.69,62.37,315859,0.029411765,Medium
Eastern,Kirehe,Sector-5,GS Camp Kigali,2014,10.89,16.76,13.83,73.07,17.28,86.9,252215,0.029411765,Medium
Eastern,Kirehe,Sector-4,GS Rukomo,2015,14.47,22.59,18.53,85.56,18.82,77.27,279889,0.029411765,Medium
Eastern,Kirehe,Sector-7,King David,2016,15.1,14.42,14.76,90.17,0.25,82.18,573818,0.029411765,Medium
Eastern,Kirehe,Sector-4,GS Mweya,2017,26.51,2.31,14.41,90.08,17.05,63.92,195028,0.029411765,Medium
Eastern,Kirehe,Sector-9,GS Buye,2018,16.9,6.72,11.81,64.98,19.99,81.23,314469,0.029411765,Medium
Eastern,Kirehe,Sector-6,GS Akumunigo,2019,25.46,11.49,18.47,65.91,19.36,88.16,296955,0.029411765,Medium
Eastern,Kirehe,Sector-2,GS Mubuga,2020,26.03,14.02,20.02,63.47,11.61,87.57,288088,0.029411765,Medium
Eastern,Kirehe,Sector-8,GS Gitega,2021,12.26,5.95,9.1,70.06,13.26,76.94,250033,0.029411765,Low
Eastern,Kirehe,Sector-3,Mater Dei,2022,25.72,8.48,17.1,86.68,19.12,73.33,424888,0.029411765,Medium
Eastern,Kirehe,Sector-6,New Vision,2023,23.23,29.12,26.18,73.05,7.16,62.58,206147,0.029411765,High
Eastern,Kirehe,Sector-7,GS Matara,2024,8.99,24.41,16.7,67.1,16.65,94,512028,0.029411765,Medium
Eastern,Kirehe,Sector-4,GS Matara,2010,15.78,12.02,13.9,85.73,17.75,74.01,248182,0.021276596,Medium
Eastern,Kirehe,Sector-6,GS Buye,2011,10.23,5.81,8.02,78.1,2.61,78.93,214427,0.021276596,Low
Eastern,Kirehe,Sector-6,GS Rwanyanza,2012,9.97,4.39,7.18,82.36,11.75,65.21,562590,0.021276596,Low
Eastern,Kirehe,Sector-4,GS Rwamagana,2013,2.86,26.01,14.43,80.21,8.28,78,270623,0.021276596,Medium
Eastern,Kirehe,Sector-1,GS Kinteko,2014,8.83,7,7.91,76.76,11.3,67.19,195213,0.021276596,Low
Eastern,Kirehe,Sector-7,GS Gitega,2015,25.9,4.41,15.15,86.48,18.36,64.6,500626,0.021276596,Medium
Eastern,Kirehe,Sector-7,GS Nyacyina,2016,27.44,22.43,24.94,76.03,13.71,68.15,533628,0.021276596,Medium
Eastern,Kirehe,Sector-3,GS Rwamagana,2017,23.01,16.45,19.73,89.8,0.31,64.04,140318,0.021276596,Medium
Eastern,Kirehe,Sector-6,GS Kinteko,2018,7.38,9.18,8.28,65.37,13,94.93,431356,0.021276596,Low
Eastern,Kirehe,Sector-4,Mater Dei,2019,19.96,28.73,24.34,56.27,14.41,97.11,121518,0.021276596,Medium
Eastern,Kirehe,Sector-8,GS Camp Kigali,2020,23.21,3.65,13.43,68.64,17.97,67.25,102419,0.021276596,Medium
Eastern,Kirehe,Sector-7,GS Agataramo,2021,28.29,26.16,27.22,65.52,0.45,77.06,162112,0.021276596,High
Eastern,Kirehe,Sector-6,GS Gitega,2022,26.2,17.07,21.64,88.39,0.01,86.6,347418,0.021276596,Medium
Eastern,Kirehe,Sector-7,GS Matara,2023,18.29,27.56,22.93,61.84,13.76,86.07,430679,0.021276596,Medium
Eastern,Kirehe,Sector-3,Marie Merci,2024,10.26,8.31,9.29,96.98,9.78,78.29,110564,0.021276596,Low
Eastern,Gatsibo,Sector-9,GS Cyahafi,2010,16.59,1.65,9.12,80.64,18.19,87.2,208007,0.027777778,Low
Eastern,Gatsibo,Sector-4,GS Nyacyina,2011,1.52,17.15,9.34,83.22,19.12,72.96,186332,0.027777778,Low
Eastern,Gatsibo,Sector-7,GS Kimironko II,2012,22.29,20.19,21.24,73.61,6.71,94.37,555911,0.027777778,Medium
Eastern,Gatsibo,Sector-1,GS Nyacyina,2013,24.66,24.27,24.47,74.03,8.26,98.77,235004,0.027777778,Medium
Eastern,Gatsibo,Sector-9,GS Ruheru,2014,12.76,20.71,16.73,66.52,3.41,90.88,476924,0.027777778,Medium
Eastern,Gatsibo,Sector-4,GS Camp Kigali,2015,27.03,20.03,23.53,84.18,18,81.68,499273,0.027777778,Medium
Eastern,Gatsibo,Sector-3,GS Gitega,2016,14,8.96,11.48,69.52,19.99,71.47,207009,0.027777778,Medium
Eastern,Gatsibo,Sector-3,New Vision,2017,8.77,10.54,9.65,73.83,6.25,68.63,391409,0.027777778,Low
Eastern,Gatsibo,Sector-5,GS Mweya,2018,4.07,1.54,2.81,73.56,10.76,91.04,345352,0.027777778,Low
Eastern,Gatsibo,Sector-5,King David,2019,9.98,5.21,7.59,83.45,1.33,86.22,109004,0.027777778,Low
Eastern,Gatsibo,Sector-8,GS Akumunigo,2020,11.64,12.68,12.16,62.46,9.03,90.11,213693,0.027777778,Medium
Eastern,Gatsibo,Sector-7,King David,2021,12.83,20.94,16.88,72.25,18.22,95.1,275150,0.027777778,Medium
Eastern,Gatsibo,Sector-5,ES Kigoma,2022,29.8,4.08,16.94,79.59,2.04,98.33,319162,0.027777778,Medium
Eastern,Gatsibo,Sector-9,GS Rukomo,2023,25.49,17.89,21.69,90.56,17.25,93.36,444159,0.027777778,Medium
Eastern,Gatsibo,Sector-3,GS Migongo,2024,9.22,20.92,15.07,72.39,16.18,61.39,400159,0.027777778,Medium
Eastern,Gatsibo,Sector-9,GS Gahanga I,2010,26.73,11.39,19.06,69.92,9.93,81.87,200808,0.022727273,Medium
Eastern,Gatsibo,Sector-3,GS Kinteko,2011,9.87,27.89,18.88,74.91,19.21,86.05,196299,0.022727273,Medium
Eastern,Gatsibo,Sector-2,GS Matara,2012,15.49,4.25,9.87,72.99,8.67,95.88,209017,0.022727273,Low
Eastern,Gatsibo,Sector-7,GS Ruheru,2013,12.95,2.03,7.49,76.3,5.04,82.35,400572,0.022727273,Low
Eastern,Gatsibo,Sector-7,Mater Dei,2014,24.51,28.47,26.49,65.84,6.51,68.57,162598,0.022727273,High
Eastern,Gatsibo,Sector-1,GS Mweya,2015,5.17,21.59,13.38,66.94,6.74,60.37,321516,0.022727273,Medium
Eastern,Gatsibo,Sector-8,King David,2016,17.98,10.15,14.07,57.75,15.81,67.52,275403,0.022727273,Medium
Eastern,Gatsibo,Sector-4,GS Ruheru,2017,1.35,9.5,5.42,59.55,8.31,62.53,352615,0.022727273,Low
Eastern,Gatsibo,Sector-5,GS Rwanyanza,2018,14.33,11.15,12.74,85.3,18.12,85.93,263947,0.022727273,Medium
Eastern,Gatsibo,Sector-5,GS Ruheru,2019,26.04,20.55,23.3,71.31,14.85,80.24,341121,0.022727273,Medium
Eastern,Gatsibo,Sector-1,GS Buye,2020,25.55,2.85,14.2,57.25,13.65,96.03,318403,0.022727273,Medium
Eastern,Gatsibo,Sector-4,Mater Dei,2021,21.32,22.07,21.7,94.37,4.27,84.94,383568,0.022727273,Medium
Eastern,Gatsibo,Sector-8,GS Rwamagana,2022,20.06,13.32,16.69,73.98,5.63,80.41,134579,0.022727273,Medium
Eastern,Gatsibo,Sector-7,GS Camp Kigali,2023,14.94,13.99,14.47,63.67,5.64,71.5,281026,0.022727273,Medium
Eastern,Gatsibo,Sector-3,King David,2024,7.76,22.29,15.03,66.21,18.63,90.43,145380,0.022727273,Medium
Eastern,Gatsibo,Sector-9,ES Kigoma,2010,23.54,25.13,24.34,64.37,8.35,75.4,555358,0.019607843,Medium
Eastern,Gatsibo,Sector-6,King David,2011,22.36,4.29,13.33,76.48,1.4,69.96,310154,0.019607843,Medium
Eastern,Gatsibo,Sector-6,King David,2012,1.76,8.57,5.17,86.14,0.74,93.86,486618,0.019607843,Low
Eastern,Gatsibo,Sector-4,GS Buye,2013,16.52,21.44,18.98,61.26,6.39,71.14,548781,0.019607843,Medium
Eastern,Gatsibo,Sector-5,GS Nyacyina,2014,5.74,13.64,9.69,61.71,2.27,64.68,579198,0.019607843,Low
Eastern,Gatsibo,Sector-8,GS Rwamagana,2015,10.9,28.97,19.94,78.42,2.74,74.26,106163,0.019607843,Medium
Eastern,Gatsibo,Sector-7,King David,2016,15.7,4.67,10.18,81.01,19.84,70.33,414731,0.019607843,Medium
Eastern,Gatsibo,Sector-7,GS Agataramo,2017,20.91,25.4,23.16,79.57,8.04,61.62,565787,0.019607843,Medium
Eastern,Gatsibo,Sector-7,GS Cyahafi,2018,25.53,11.04,18.28,84.1,11.54,83.45,375875,0.019607843,Medium
Eastern,Gatsibo,Sector-6,GS Ruramira,2019,10.93,3.43,7.18,78,6.04,62.89,584405,0.019607843,Low
Eastern,Gatsibo,Sector-8,GS Mubuga,2020,19.86,10.54,15.2,66.34,14.41,73.72,339947,0.019607843,Medium
Eastern,Gatsibo,Sector-5,GS Ruheru,2021,15.83,28.36,22.1,63.62,0.98,83.37,233021,0.019607843,Medium
Eastern,Gatsibo,Sector-5,GS Camp Kigali,2022,17.63,25.76,21.69,77.96,18.66,60.76,240689,0.019607843,Medium
Eastern,Gatsibo,Sector-1,GS Ruramira,2023,20.06,13.73,16.9,74.12,13.8,78.81,383830,0.019607843,Medium
Eastern,Gatsibo,Sector-7,GS Agataramo,2024,14.97,4.61,9.79,56.97,4.78,82.97,448904,0.019607843,Low
Eastern,Gatsibo,Sector-2,GS Gitega,2010,1.37,21.16,11.27,74.59,18.34,85.96,172534,0.01754386,Medium
Eastern,Gatsibo,Sector-1,GS Matara,2011,4.89,20.47,12.68,73.23,18.66,64.5,252890,0.01754386,Medium
Eastern,Gatsibo,Sector-4,King David,2012,28.21,27.51,27.86,72.57,1.99,60.29,125816,0.01754386,High
Eastern,Gatsibo,Sector-9,GS Akumunigo,2013,8.9,25.12,17.01,86.86,1.04,60.39,229544,0.01754386,Medium
Eastern,Gatsibo,Sector-4,GS Rutongo,2014,28.32,16.29,22.31,62.08,7.27,73.54,116259,0.01754386,Medium
Eastern,Gatsibo,Sector-2,GS Rutongo,2015,16.41,26.28,21.35,69.97,3.91,65.91,197841,0.01754386,Medium
Eastern,Gatsibo,Sector-1,GS Buye,2016,1.81,24.35,13.08,71.26,14.7,65.76,396508,0.01754386,Medium
Eastern,Gatsibo,Sector-1,GS Rwamagana,2017,4.2,26,15.1,87.3,0.12,80.09,330314,0.01754386,Medium
Eastern,Gatsibo,Sector-2,Marie Merci,2018,18.18,25.57,21.88,61.63,2.15,76.84,330502,0.01754386,Medium
Eastern,Gatsibo,Sector-2,GS Rukomo,2019,6.98,5.28,6.13,71.5,15.12,87.46,107904,0.01754386,Low
Eastern,Gatsibo,Sector-6,Mater Dei,2020,28.97,4.32,16.64,78.11,16.51,70.65,240466,0.01754386,Medium
Eastern,Gatsibo,Sector-7,ES Kigoma,2021,29.63,17.15,23.39,66.92,15.47,66.81,299521,0.01754386,Medium
Eastern,Gatsibo,Sector-9,King David,2022,26.38,1.77,14.07,69.41,13.09,73.64,286869,0.01754386,Medium
Eastern,Gatsibo,Sector-7,GS Mweya,2023,28.67,23.48,26.07,83.38,2.33,67.47,212789,0.01754386,High
Eastern,Gatsibo,Sector-6,GS Gahanga I,2024,18.3,8.97,13.64,62.73,13.75,82.17,145667,0.01754386,Medium
Eastern,Gatsibo,Sector-3,GS Gitega,2010,19.81,19.49,19.65,64.12,18.85,87.86,380141,0.026315789,Medium
Eastern,Gatsibo,Sector-5,GS Migongo,2011,24.72,18.04,21.38,61.4,3.31,73.62,123382,0.026315789,Medium
Eastern,Gatsibo,Sector-1,GS Rwanyanza,2012,29.35,4.13,16.74,96.14,8.72,81.01,343772,0.026315789,Medium
Eastern,Gatsibo,Sector-1,GS Agataramo,2013,19.27,10.88,15.07,71.98,5.73,79.93,394614,0.026315789,Medium
Eastern,Gatsibo,Sector-6,GS Akumunigo,2014,11.64,3.43,7.54,57.64,16.26,62.97,164186,0.026315789,Low
Eastern,Gatsibo,Sector-3,GS Gahanga I,2015,2.13,20.11,11.12,78.6,10.35,79.4,248051,0.026315789,Medium
Eastern,Gatsibo,Sector-4,Marie Merci,2016,12.08,17.36,14.72,77.79,14.2,77.02,469841,0.026315789,Medium
Eastern,Gatsibo,Sector-6,GS Kinteko,2017,11.55,25.16,18.36,79.35,14.71,64.3,314096,0.026315789,Medium
Eastern,Gatsibo,Sector-9,GS Ruramira,2018,7.14,5.21,6.18,82.31,0.6,70.27,411467,0.026315789,Low
Eastern,Gatsibo,Sector-2,New Vision,2019,12.52,17.57,15.04,86.75,16.8,92.76,136534,0.026315789,Medium
Eastern,Gatsibo,Sector-7,New Vision,2020,29.92,9.49,19.7,82.49,11.62,88.45,555725,0.026315789,Medium
Eastern,Gatsibo,Sector-2,GS Rwanyanza,2021,28.38,24.54,26.46,86.97,5.52,67.12,513509,0.026315789,High
Eastern,Gatsibo,Sector-6,King David,2022,27.98,11.57,19.78,78.1,13.2,80.58,416842,0.026315789,Medium
Eastern,Gatsibo,Sector-7,GS Camp Kigali,2023,25.25,21.83,23.54,64.21,14.92,97.34,294188,0.026315789,Medium
Eastern,Gatsibo,Sector-5,ES Kigoma,2024,24.05,22.68,23.37,79.37,16.05,85,153365,0.026315789,Medium
Western,Rubavu,Sector-7,GS Ruramira,2010,3.06,15.15,9.1,80.38,10.39,94.88,582360,0.01754386,Low
Western,Rubavu,Sector-2,ES Kigoma,2011,23.38,16.16,19.77,57.07,18.61,67.53,495215,0.01754386,Medium
Western,Rubavu,Sector-7,GS Mubuga,2012,24.19,13.55,18.87,68.97,4.78,88.17,234411,0.01754386,Medium
Western,Rubavu,Sector-2,GS Kinteko,2013,2.21,19.09,10.65,74.12,7.95,85.76,427222,0.01754386,Medium
Western,Rubavu,Sector-8,New Vision,2014,13.42,26.53,19.97,96.35,18.78,88.77,236559,0.01754386,Medium
Western,Rubavu,Sector-1,GS Akumunigo,2015,8.25,16.52,12.38,84.22,15.92,70.09,364603,0.01754386,Medium
Western,Rubavu,Sector-5,GS Buye,2016,14.78,24.01,19.39,82.47,0.63,81.36,102921,0.01754386,Medium
Western,Rubavu,Sector-2,GS Rwanyanza,2017,5.94,19.36,12.65,73.2,15.69,62.52,223649,0.01754386,Medium
Western,Rubavu,Sector-5,GS Kimironko II,2018,6.38,19.4,12.89,86.48,6.37,72.42,552220,0.01754386,Medium
Western,Rubavu,Sector-3,Mater Dei,2019,7.96,17.15,12.56,76.04,16.41,73.34,521136,0.01754386,Medium
Western,Rubavu,Sector-8,GS Cyahafi,2020,25.76,5.99,15.88,63.91,0.64,70.84,364068,0.01754386,Medium
Western,Rubavu,Sector-3,ES Kigoma,2021,3.21,8.94,6.08,60.79,8.59,91.92,169767,0.01754386,Low
Western,Rubavu,Sector-5,GS Matara,2022,12.83,4.3,8.57,84.46,6.22,88.84,432402,0.01754386,Low
Western,Rubavu,Sector-6,GS Buye,2023,29.54,25.12,27.33,75.61,1.87,93.73,199704,0.01754386,High
Western,Rubavu,Sector-4,Marie Merci,2024,22.42,28.84,25.63,81.23,11.99,97.83,383590,0.01754386,High
Western,Rubavu,Sector-9,GS Akumunigo,2010,5.7,21.32,13.51,82.55,15.92,69.66,346281,0.02,Medium
Western,Rubavu,Sector-8,GS Kinteko,2011,1.11,19.31,10.21,72.87,15.8,78.06,164325,0.02,Medium
Western,Rubavu,Sector-3,GS Buye,2012,19.4,16.45,17.93,67.1,10.03,92.91,588426,0.02,Medium
Western,Rubavu,Sector-7,Mater Dei,2013,16.1,14,15.05,59.41,9.08,63.94,169715,0.02,Medium
Western,Rubavu,Sector-2,GS Migongo,2014,22.3,11.65,16.97,52.99,13.91,79.85,198580,0.02,Medium
Western,Rubavu,Sector-5,GS Rutongo,2015,21.26,21.41,21.34,85.19,3.99,79.57,400141,0.02,Medium
Western,Rubavu,Sector-3,GS Gahanga I,2016,9.92,2.23,6.07,72.05,15.15,72.17,368718,0.02,Low
Western,Rubavu,Sector-3,New Vision,2017,11.35,29.7,20.52,62.93,6.62,90.89,473690,0.02,Medium
Western,Rubavu,Sector-2,New Vision,2018,6.18,23.19,14.69,83.82,6.2,98.29,306329,0.02,Medium
Western,Rubavu,Sector-8,GS Agataramo,2019,16.13,20.25,18.19,77.51,5.56,73.45,102019,0.02,Medium
Western,Rubavu,Sector-9,GS Mubuga,2020,29.9,26.9,28.4,83.47,14.65,92.63,557775,0.02,High
Western,Rubavu,Sector-2,GS Cyahafi,2021,18.72,24.79,21.75,65.64,11.47,80.48,158541,0.02,Medium
Western,Rubavu,Sector-4,GS Buye,2022,13.9,20.39,17.14,66.19,0.53,81.65,563819,0.02,Medium
Western,Rubavu,Sector-2,GS Kimironko II,2023,23.94,8.5,16.22,60.12,14.64,67.18,537631,0.02,Medium
Western,Rubavu,Sector-4,GS Rwanyanza,2024,5.78,11.19,8.48,65.37,12.04,88.33,311864,0.02,Low
Western,Rubavu,Sector-3,King David,2010,19.81,22.04,20.92,77.36,3.65,84.65,161009,0.027027027,Medium
Western,Rubavu,Sector-1,King David,2011,28.33,22.9,25.61,63.64,8.82,92.39,257998,0.027027027,High
Western,Rubavu,Sector-6,King David,2012,21.78,12.21,16.99,71.1,9.22,99.04,332321,0.027027027,Medium
Western,Rubavu,Sector-4,GS Rwamagana,2013,20.55,16.7,18.62,90.13,17.6,62.33,134986,0.027027027,Medium
Western,Rubavu,Sector-1,GS Camp Kigali,2014,10.42,12.49,11.45,74.19,5.91,69.14,390358,0.027027027,Medium
Western,Rubavu,Sector-7,Marie Merci,2015,21.46,15.88,18.67,69.14,16.61,89.4,193993,0.027027027,Medium
Western,Rubavu,Sector-5,ES Kigoma,2016,13.16,6.63,9.89,69.75,15.83,81.25,266797,0.027027027,Low
Western,Rubavu,Sector-3,GS Buye,2017,17.86,23.64,20.75,56.05,8.19,94.95,594087,0.027027027,Medium
Western,Rubavu,Sector-7,GS Migongo,2018,26.41,9.64,18.03,57.81,10.7,83.12,460256,0.027027027,Medium
Western,Rubavu,Sector-5,GS Matara,2019,26.42,27.46,26.94,68.2,14.39,81.97,167764,0.027027027,High
Western,Rubavu,Sector-8,Mater Dei,2020,3.73,19.38,11.56,76.27,10.53,81.58,136355,0.027027027,Medium
Western,Rubavu,Sector-6,Mater Dei,2021,12.48,6.23,9.35,71.31,1.92,72.49,193616,0.027027027,Low
Western,Rubavu,Sector-1,GS Rukomo,2022,9.62,2.57,6.09,67.09,1.19,88.07,228019,0.027027027,Low
Western,Rubavu,Sector-7,GS Kinteko,2023,9.85,27,18.43,85.29,18.49,65.66,181541,0.027027027,Medium
Western,Rubavu,Sector-5,GS Nyacyina,2024,16.92,17.91,17.42,83.77,16.88,91.09,121050,0.027027027,Medium
Western,Rubavu,Sector-5,GS Ruheru,2010,27.82,11.27,19.54,91.53,13.93,70.52,233461,0.021276596,Medium
Western,Rubavu,Sector-7,GS Nyacyina,2011,5.77,5.31,5.54,71.05,19.44,88.57,318031,0.021276596,Low
Western,Rubavu,Sector-4,GS Mweya,2012,1.41,18.44,9.93,67.43,17.75,66.04,421912,0.021276596,Low
Western,Rubavu,Sector-1,GS Agataramo,2013,9.21,13.7,11.45,60.69,19.8,86.93,340660,0.021276596,Medium
Western,Rubavu,Sector-9,GS Rukomo,2014,3.2,20.19,11.7,72.37,14.31,78.31,163472,0.021276596,Medium
Western,Rubavu,Sector-1,GS Rukomo,2015,21.93,9.19,15.56,78.8,4.14,89,220623,0.021276596,Medium
Western,Rubavu,Sector-3,GS Mubuga,2016,27.63,24.64,26.13,96.48,5.82,71.2,301081,0.021276596,High
Western,Rubavu,Sector-4,GS Rutongo,2017,18.81,24.33,21.57,88.08,1.99,60.23,260966,0.021276596,Medium
Western,Rubavu,Sector-5,Mater Dei,2018,11.54,15.54,13.54,59.8,11.68,67.17,518810,0.021276596,Medium
